"elo_rank","wow_rank_change","team_nick","team_logo_espn","team","team_color","nfelo","_538_qb_adj","spread_val","wow_spread_val","soy_spread_val","soy_rank_change","wins","points_for_ytd","points_against_ytd","point_dif_ytd","film_dif_ytd","epa_per_play_ytd","epa_per_pass_ytd","epa_per_rush_ytd","epa_per_play_against_ytd","epa_per_pass_against_ytd","epa_per_rush_against_ytd","net_epa_per_play_ytd","wepa_margin_ytd","wepa_for_ytd","wepa_against_ytd","expected_wins_538_ytd","expected_wins_pff_ytd","qb_value_538_ytd","pythag_wins","nfelo_rank","point_dif_ytd_rank","net_epa_per_play_ytd_rank","epa_per_play_ytd_rank","epa_per_pass_ytd_rank","epa_per_rush_ytd_rank","epa_per_play_against_ytd_rank","epa_per_pass_against_ytd_rank","epa_per_rush_against_ytd_rank","season","week"
"1","0","Chiefs","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","KC","#E31837","1671","8","6.3","-1.7","0.1","0","1.0","27.0","20.0","7.0","8.138311386108398","0.20423809418","0.3905289880645161","-0.099710206368421","0.0806493017432432","0.0049788812442307","0.2595066592863636","0.1235887924367567","7.131610349311528","9.716790199279783","2.979696273803711","0.61770856","1.0","190.7226","0.6706768379236326","1.0","8.5","12.0","4.0","3.0","20.0","22.0","14.0","30.0","2024","1"
"2","1","49ers","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","SF","#AA0000","1656","2","5.7","-1.4","0.2","0","1.0","32.0","19.0","13.0","13.0","0.0991620176428571","0.1537330354545454","0.0504905693243243","-0.048395507862745","0.0419228375","-0.2005106158421052","0.1475575255056022","12.751909613809548","14.516507148742676","2.4426867961883545","0.8021951","1.0","166.72662","0.7747751652375653","2.0","5.0","10.0","10.0","11.0","7.0","15.0","16.0","7.0","2024","1"
"3","1","Ravens","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","BAL","#241773","1631","15","4.7","-1.5","0.1","1","0.0","20.0","27.0","-7.0","-7.692770957946777","0.0806493017432432","0.0049788812442307","0.2595066592863636","0.20423809418","0.3905289880645161","-0.099710206368421","-0.1235887924367567","-3.4358003310731737","4.030548095703125","7.327685832977295","0.38229144","0.0","399.32025","0.3293231620763674","3.0","24.5","21.0","11.0","19.0","3.0","29.0","30.0","13.0","2024","1"
"4","1","Cowboys","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","DAL","#002244","1616","0","4.1","-1.7","0.2","1","1.0","33.0","17.0","16.0","10.6767578125","-0.1090959075899999","-0.1904953585142857","0.004863323704","-0.2718643904","-0.3503281323928571","0.0419905775714285","0.16276848281","11.616697386959352","-3.710545539855957","-14.706430435180664","0.49810487","1.0","103.48807","0.8280695758249478","4.0","4.0","7.0","22.0","23.0","13.0","6.0","6.0","24.0","2024","1"
"5","-3","Bills","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","BUF","#00338D","1614","13","4.1","-3.6","-1.1","-2","1.0","34.0","28.0","6.0","7.458367824554443","0.2182553093965517","0.513708376","-0.0983015476785714","0.0622967154918032","0.1589813144736842","-0.0974430567391304","0.1559585939047484","8.260666574593142","16.919748306274414","9.110565185546877","0.84529257","1.0","360.08707","0.6130497014027807","6.0","11.5","8.0","2.0","2.0","19.0","21.0","24.0","15.0","2024","1"
"6","0","Lions","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","DET","#0076B6","1608","0","3.8","-0.7","0.3","0","1.0","26.0","20.0","6.0","11.075018882751465","0.105776392557377","-0.1031917734838709","0.3217101641333333","0.0438822570675675","0.0889494279607843","-0.0560492957826087","0.0618941354898094","3.663964279915142","8.262444496154785","4.8180365562438965","0.66831166","1.0","107.37707","0.6506285713666761","5.0","11.5","14.0","9.0","21.0","2.0","18.0","19.0","19.0","2024","1"
"7","0","Dolphins","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","MIA","#008E97","1579","2","2.7","-0.8","-0.2","0","1.0","20.0","17.0","3.0","12.582924842834473","0.0240733240923076","0.1298624748780487","-0.1566498085","-0.1479636554799999","0.10802820264","-0.4039555136","0.1720369795723076","0.069170060065493","-0.487638920545578","-0.5186280608177185","0.66313696","1.0","198.078","0.5951194033859748","7.0","15.0","6.0","16.0","12.0","22.0","10.0","20.0","3.0","2024","1"
"8","3","Bengals","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","CIN","#FB4F14","1561","-2","1.9","0.6","-0.6","0","0.0","10.0","16.0","-6.0","-2.908472776412964","-0.1789496403333333","-0.3179225754285714","0.1952082618461538","-0.0250438715624999","0.0463360183103448","-0.0841872088857142","-0.1539057687708333","-4.639578350670591","-1.4283689260482788","3.011809825897217","0.75941646","0.0","101.24987","0.2471429227731799","8.0","21.5","24.0","24.0","26.0","4.0","16.0","17.0","16.0","2024","1"
"9","1","Steelers","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","PIT","#000000","1560","43","1.9","-0.4","1.8","9","1.0","18.0","10.0","8.0","5.739701747894287","-0.0997945109318181","0.0173247972166666","-0.1973939343888889","-0.3513850352653061","-0.4071516208888888","-0.2829442256363637","0.2515905243334879","3.0191326464875203","-4.132441520690918","-6.964552879333496","0.51840615","1.0","148.84619","0.8010794123815698","17.0","7.0","3.0","21.0","18.0","25.0","3.0","3.0","5.0","2024","1"
"10","2","Eagles","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","PHI","#004C54","1554","-1","1.7","0.7","0.7","2","1.0","34.0","29.0","5.0","2.6925902366638184","0.0563834430684931","0.3723639776315789","-0.2866811373142857","0.1824472737440678","0.0641535389432432","0.3813958277272727","-0.1260638306755746","6.404463389267471","12.640299797058104","6.59366512298584","0.4521832","1.0","127.36777","0.5931453123650443","9.0","14.0","22.0","13.0","4.0","29.0","28.0","18.0","32.0","2024","1"
